Product ,,Price,Ratings,Reviews,,
Fruit of the Loom Girls' Breathable Underwear ,,7.69,4.7,4451,,
Simple Joys by Carter's Girls' Raincoat ,,29.3,4.8,403,,
"Arctix Kids Jackalope Insulated Winter Jacket, Island Azure, 4T ",,49.99,4.1,18,,
Disney girls Minnie Mouse Potty Training Pants Multipack ,,19.99,4.7,796,,
Simple Joys by Carter's Girls' Little 2-Pack Loose-fit Fleece Footed Pajamas ,,19.5,4.8,695,,
"Amazon Essentials Girls and Toddlers' Full-Length Active Leggings, Multipacks ",,22.8,4.6,2369,,
"Gymboree Girls and Toddler Short Sleeve Dresses, Pumpkin White, 12-18 Months ",,20.17,4.9,39,,
Gymboree Girls and Toddler Embroidered Graphic Long Sleeve T-Shirts ,,14.99,4.5,48,,
Dickies Juniors Stretch Straight Leg Pant ,,29.99,4,687,,
Bow Dream Ivory Off White Lace Vintage Flower Girl's Dress ,,23.49,4.6,2286,,
Columbia Girls' Rain-Zilla Jacket ,,28.41,4.8,640,,
The Children's Place Toddler Girls Basic Short Sleeve Layering Tee ,,4.48,4.6,531,,
Hatley Girls' Splash Jacket ,,75,4.9,967,,
Disney Girls' Descendants Pajama Set ,,13.05,4.7,149,,
"Disney Pixar Girl's Toy Story 100% Cotton 7-Pack and 10-Pack Underwear in Sizes 2/3t,4t, 4, 6, and 8 ",,14.61,4.8,2232,,
Sesame Street Girls' Pajama Set ,,14.99,4.7,92,,
Gymboree Girls and Toddler Long Sleeve Cable Knit Cardigan Sweater ,,23.07,4.7,72,,
Disney Girls' Zombies Underwear Multipack ,,10.97,4.7,86,,
French Toast Girls' Short Sleeve Peter Pan Collar Polo ,,12.99,4.8,3286,,
Gymboree Girls and Toddler Long Sleeve Knit Casual Dresses ,,28.84,4.6,40,,
Amazon Essentials Girls' Little Long Quilted Cocoon Puffer Coat ,,43.9,4.6,152,,
STAR WARS Baby Yoda Girls Panty Multipacks ,,7.69,4.8,1504,,
Wrangler Girls' Retro Stretch Boot Cut Jean ,,33.23,4.7,768,,
Gymboree Girls and Toddler Embroidered Graphic Short Sleeve T-Shirts ,,12.38,4.8,43,,
"Hanes Girls' Toddler 6-Pack Brief, Assorted ",,7.99,4.7,1344,,
Classroom School Uniforms Kids' Polo Shirt ,,11.88,4.7,544,,
Disney Girls' Encanto Nightgown ,,14.57,5,20,,
Spotted Zebra Disney | Marvel | Star Wars | Frozen | Princess Girls and Toddlers' Mix-and-Match Outfit Sets ,,36.1,4.7,269,,
Juicy Couture Girls' 2 Pieces Hooded Jog Set ,,23.87,4.4,37,,
The Children's Place Big Girls' Long Sleeve Polo Dress ,,15,4.6,183,,
